name,brand,sale,processor_type,processor,fab,ram_type,rom_type,display_type,size,curved_display,refresh_rate,hbm,protection,ppi,battery,charging_speed,thickness,back_material,frame_material,weight,launch_date,camera_number,useful_camera_number,main,camera_sensor_name,ultrawide,third,third_mp,fourth,fourth_mp,rear_video,front,front_video,colors,antutu,geekbench_single,geekbench_multiple,speaker,wireless_charging,ip_rating,price
CMF Phone 1,Nothing,Online,Mediatek,Dimensity 7300,4,LPDDR4X,UFS 2.2,Amoled,6.67,0,120,,,395,5000,33,8.2,Plastic,Plastic,202,08-07-2024,2,1,50,,,Useless,2,,,"4, 30",16,"4, 30",3,646635,1013,2949,Mono,0,52,16000
CMF Phone 2 Pro,Nothing,Online,Mediatek,Dimensity 7300,4,LPDDR4X,UFS 2.2,Amoled,6.77,0,120,1300,"Panda Glass, ",388,5000,33,7.8,Plastic,Plastic,185,28-05-2025,3,3,50,,8,Telephoto - 2x,50,,,"4, 30",16,"4, 30",4,704101,1013,2936,Mono,0,54,19000
Galaxy A07,Samsung,Offline,Mediatek,Dimensity 6300,6,LPDDR4X,UFS 2.2,IPS LCD,6.7,0,120,800,,262,6000,25,8.2,Plastic,Plastic,199,05-02-2026,2,1,50,,,Useless,2,,,"1, 60",8,"1, 30",2,450401,731,2012,Mono,0,54,16000
Galaxy A17,Samsung,Offline,Exynos,1330,5,LPDDR4X,UFS 2.2,Amoled,6.7,0,90,800,"Corning, GG Victus",358,5000,25,7.5,Plastic,Plastic,193,29-08-2025,3,2,50,,5,Useless,2,,,"1, 30",13,"1, 30",3,473905,942,2137,Mono,0,54,19000
Galaxy A27,Samsung,Offline,Snapdragon,6 Gen 3,4,LPDDR5X,UFS 3.1,Amoled,6.7,0,120,800,"Corning, GG Victus +",385,5000,25,7.8,Glass,Plastic,200,25-06-2026,2,2,50,,5,Useless,2,,,"4, 30",12,"1, 30",3,892500,1080,3192,Mono,0,64,32000
Galaxy A36,Samsung,Offline,Snapdragon,6 Gen 3,4,LPDDR5,UFS 2.2,Amoled,6.7,0,120,1200,"Corning, GG Victus+",385,5000,45,7.4,Glass,Plastic,195,02-03-2025,3,3,50,,8,Macro,5,,,"4, 30",12,"1, 30",3,620000,1060,3070,Stereo,0,67,36500
Galaxy A37,Samsung,Offline,Exynos,1480,4,LPDDR5X,UFS 3.1,Amoled,6.7,0,120,1200,"Corning, GG Victus +",385,5000,45,7.4,Glass,Plastic,196,25-03-2026,3,2,50,,8,Macro,5,,,"4, 30",12,"4, 60",4,713393,1158,3401,Stereo,0,68,42000
Galaxy A56,Samsung,Offline,Exynos,1580,4,LPDDR5,UFS 3.1,Amoled,6.7,0,120,1200,"Corning, GG Victus+",385,5000,45,7.4,Glass,Aluminium,198,02-03-2025,3,3,50,,12,Macro,5,,,"4, 30",12,"1, 30",3,908689,1380,3877,Stereo,0,67,45000
Galaxy A57,Samsung,Offline,Exynos,1680,4,LPDDR5X,UFS 3.1,Amoled,6.7,0,120,1200,"Corning, GG Victus +",385,5000,45,6.9,Glass,Aluminium,179,25-03-2026,3,2,50,,12,Macro,5,,,"4, 30",12,"4, 30",4,1381157,1361,4446,Stereo,0,68,57000
Galaxy F17,Samsung,Online,Exynos,1330,5,LPDDR4X,UFS 2.2,Amoled,6.7,0,90,800,"Corning, GG Victus",385,5000,25,7.5,Plastic,Plastic,193,29-08-2025,3,2,50,,5,Useless,2,,,"1, 30",13,"1, 30",3,473905,942,2137,Mono,0,54,16000
Galaxy F36,Samsung,Online,Exynos,1380,4,LPDDR4X,UFS 2.2,Amoled,6.7,0,120,800,"Corning, GG Victus+",385,5000,25,7.7,Plastic,Plastic,197,29-07-2025,3,2,50,,8,Useless,2,,,"4, 30",13,"4, 30",3,595209,1004,2886,Mono,0,52,21000
Galaxy F56,Samsung,Online,Exynos,1480,4,LPDDR5X,UFS 3.1,Amoled,6.74,0,120,1200,"Corning, GG Victus+",382,5000,45,7.2,Glass,Aluminium,180,08-05-2025,3,2,50,,8,Useless,2,,,"4, 30",12,"1, 30",2,734661,1153,3456,Mono,0,52,28000
Galaxy F70e,Samsung,Online,Mediatek,Dimensity 6300,6,LPDDR4X,UFS 2.2,IPS LCD,6.7,0,120,800,,262,6000,25,8.2,Leather,Plastic,199,09-02-2026,2,1,50,,,Useless,2,,,"1, 60",8,"1, 30",2,450401,731,2012,Mono,0,54,14500
Galaxy M17,Samsung,Online,Exynos,1330,5,LPDDR4X,UFS 2.2,Amoled,6.7,0,90,800,"Corning, GG Victus",385,5000,25,7.5,Plastic,Plastic,193,10-10-2025,3,2,50,,5,Useless,2,,,"1, 30",13,"1, 30",3,473905,942,2137,Mono,0,54,16500
Galaxy M17e,Samsung,Online,Mediatek,Dimensity 6300,6,LPDDR4X,UFS 2.2,IPS LCD,6.7,0,120,800,,262,6000,25,8.2,Plastic,Plastic,199,17-03-2026,2,1,50,,,Useless,2,,,"1, 60",8,"1, 30",2,450401,731,2012,Mono,0,54,14000
Galaxy M35,Samsung,Online,Exynos,1380,4,LPDDR4X,UFS 2.2,Amoled,6.6,0,120,1000,"Corning, GG Victus+",390,6000,25,9.1,Plastic,Plastic,222,24-05-2024,3,2,50,,8,Useless,2,,,"4, 30",13,"1, 60",3,603573,1008,2926,Stereo,0,52,20000
Galaxy M36,Samsung,Online,Exynos,1380,4,LPDDR4X,UFS 2.2,Amoled,6.7,0,120,800,"Corning, GG Victus+",385,5000,25,7.7,Plastic,Plastic,197,27-06-2025,3,2,50,,8,Useless,2,,,"4, 30",13,"4, 30",3,595209,1004,2886,Mono,0,52,21000
Galaxy M47,Samsung,Online,Snapdragon,6 Gen 3,4,LPDDR5X,UFS 3.1,Amoled,6.7,0,120,800,"Corning, GG Victus +",385,6000,45,7.8,Glass,Plastic,200,29-06-2026,2,2,50,,5,Useless,2,,,"4, 30",12,"1, 30",2,892500,1080,3192,Mono,0,64,33000
Galaxy M56,Samsung,Online,Exynos,1480,4,LPDDR5X,UFS 3.1,Amoled,6.74,0,120,1200,"Corning, GG Victus+",382,5000,45,7.2,Glass,Aluminium,180,17-04-2025,3,2,50,,8,Useless,2,,,"4, 30",12,"1, 30",2,734661,1153,3456,Mono,0,52,29000
Galaxy S24,Samsung,Flagship,Exynos,2400,3,LPDDR5X,UFS 4.0,Amoled,6.2,0,120,1400,"Corning, GG Victus 2",416,4000,25,7.6,Glass,Aluminium,168,17-01-2024,3,3,50,,12,Telephoto - 3x,10,,,"4, 60",12,"4, 60",7,1696727,1944,6261,Stereo,1,68,80000
Galaxy S24 Snapdragon,Samsung,Both,Snapdragon,8 Gen 3,4,LPDDR5X,UFS 4.0,Amoled,6.2,0,120,1400,"Corning, GG Victus 2",416,4000,25,7.6,Glass,Aluminium,168,23-09-2025,3,3,50,,12,Telephoto - 3x,10,,,"4, 60",12,"4, 60",7,1922733,2051,6357,Stereo,1,68,40000
Galaxy S25,Samsung,Flagship,Snapdragon,8 Elite,3,LPDDR5X,UFS 4.0,Amoled,6.2,0,120,1400,"Corning, GG Victus 2",416,4000,25,7.2,Glass,Aluminium,162,22-01-2025,3,3,50,,12,Telephoto - 3x,10,,,"4, 60",12,"4, 60",7,2342380,2769,9366,Stereo,1,68,81000
Galaxy S25 Edge,Samsung,Flagship,Snapdragon,8 Elite,3,LPDDR5X,UFS 4.0,Amoled,6.7,0,120,1400,"Corning, GG Ceramic2",513,3900,25,5.8,Glass,Titanium,163,13-05-2025,2,2,200,Samsung HP 2,12,,,,,"4, 60",12,"4, 60",2,2147084,2223,8012,Stereo,1,68,110000
Galaxy S25 FE,Samsung,Flagship,Exynos,2400,3,LPDDR5X,UFS 4.0,Amoled,6.7,0,120,1300,"Corning, GG Victus+",385,4900,45,7.4,Glass,Aluminium,190,04-09-2025,3,3,50,,12,Telephoto - 3x,8,,,"4, 60",12,"4, 60",3,2073050,2064,6948,Stereo,1,69,60000
